,geo_id,geo_code,name,abbreviation,type_id
400,656,postal-36230,เทพสถิต,36230,6
401,657,postal-36110,ภูเขียว,36110,6
402,658,postal-36190,บ้านแท่น,36190,6
403,659,postal-36150,แก้งคร้อ,36150,6
404,660,postal-36180,คอนสาร,36180,6
405,661,postal-36260,ภักดีชุมพล,36260,6
406,662,postal-36130,เนินสง่า,36130,6
407,663,postal-36130,ซับใหญ่,36130,6
408,664,postal-37000,เมืองอำนาจเจริญ,37000,6
409,665,postal-37210,ชานุมาน,37210,6
410,666,postal-37110,ปทุมราชวงศา,37110,6
411,667,postal-37180,พนา,37180,6
412,668,postal-37290,เสนางคนิคม,37290,6
413,669,postal-37240,หัวตะพาน,37240,6
414,670,postal-37000,ลืออำนาจ,37000,6
415,671,postal-38000,เมืองบึงกาฬ,38000,6
416,672,postal-38180,พรเจริญ,38180,6
417,673,postal-38170,โซ่พิสัย,38170,6
418,674,postal-38150,เซกา,38150,6
419,675,postal-38190,ปากคาด,38190,6
420,676,postal-38220,บึงโขงหลง,38220,6
421,677,postal-38210,ศรีวิไล,38210,6
422,678,postal-38000,บุ่งคล้า,38000,6
423,679,postal-39000,เมืองหนองบัวลำภู,39000,6
424,680,postal-39170,นากลาง,39170,6
425,681,postal-39350,นากลาง,39350,6
426,682,postal-39140,โนนสัง,39140,6
427,683,postal-39180,ศรีบุญเรือง,39180,6
428,684,postal-39270,สุวรรณคูหา,39270,6
429,685,postal-39170,นาวัง,39170,6
430,686,postal-40000,เมืองขอนแก่น,40000,6
431,687,postal-40260,เมืองขอนแก่น,40260,6
432,688,postal-40270,บ้านฝาง,40270,6
433,689,postal-40320,พระยืน,40320,6
434,690,postal-40210,หนองเรือ,40210,6
435,691,postal-40240,หนองเรือ,40240,6
436,692,postal-40130,ชุมแพ,40130,6
437,693,postal-40290,ชุมแพ,40290,6
438,694,postal-40220,สีชมพู,40220,6
439,695,postal-40140,น้ำพอง,40140,6
440,696,postal-40310,น้ำพอง,40310,6
441,697,postal-40250,อุบลรัตน์,40250,6
442,698,postal-40170,กระนวน,40170,6
443,699,postal-40110,บ้านไผ่,40110,6
444,700,postal-40340,เปือยน้อย,40340,6
445,701,postal-40120,พล,40120,6
446,702,postal-40330,แวงใหญ่,40330,6
447,703,postal-40230,แวงน้อย,40230,6
448,704,postal-40190,หนองสองห้อง,40190,6
449,705,postal-40150,ภูเวียง,40150,6
450,706,postal-40160,มัญจาคีรี,40160,6
