ทำเนียบท้องที่,Unnamed: 1,Unnamed: 2,Unnamed: 3
รหัสจังหวัด 2 หลัก // อำเภอ 2 หลัก // ตำบล 2 หลัก,,,
ข้อมูล ณ วันที่ 1 กันยายน 2566,,,
,,,
รหัสจังหวัด 2 หลัก//อำเภอ 4 หลัก//ตำบล 6 หลัก,จังหวัด/อำเภอ/ตำบล ภาษาไทย,จังหวัด/อำเภอ/ตำบล ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
10500000,เขตบางบอน,Bang Bon,0
10500100,บางบอน*,Bang Bon,25650422
10500200,บางบอนเหนือ,Bang Bon Nuea,0
10500300,บางบอนใต้,Bang Bon Tai,0
10500400,คลองบางพราน,Khlong Bang Phran,0
10500500,คลองบางบอน,Khlong Bang Bon,0
10810000,บ้านทะวาย*,Ban Thawai,25490101
10990000,สำนักทะเบียนกลาง*, ,25561007
11000000,สมุทรปราการ,Samut Prakan,0
11010000,เมืองสมุทรปราการ,Mueang Samut Prakan,0
11010100,ปากน้ำ,Paknam,0
11010200,สำโรงเหนือ,Samrong Nuea,0
11010300,บางเมือง,Bang Mueang,0
11010400,ท้ายบ้าน,Thai Ban,0
11010500,นาเกลือ*,Na Kluea,25490101
11010600,แหลมฟ้าผ่า*,Laem Fa Pha,25490101
11010700,ในคลองบางปลากด*,Nai Khlong Bang Pla Kot,25490101
11010800,บางปูใหม่,Bang Pu Mai,0
11010900,ปากคลองบางปลากด*,Pak Khlong Bang Pla Kot,25490101
11011000,แพรกษา,Phraekkasa,0
11011100,บางโปรง,Bang Prong,0
11011200,บางปู,Bang Pu,0
11011300,บางด้วน,Bang Duan,0
11011400,บางเมืองใหม่,Bang Mueang Mai,0
11011500,เทพารักษ์,Thepharak,0
11011600,ท้ายบ้านใหม่,Thai Ban Mai,0
11011700,แพรกษาใหม่,Phraekkasa Mai,0
11019400,บางปูเก่า*,Bang Pu Kao,25490101
11019500,ในคลองบางปลากด*,Nai Khlong Bang Pla Kot,25490101
11019600,ปากคลองบางปลากด*,Pak Khlong Bang Pla Kot,25490101
11019700,แหลมฟ้าผ่า*,Laem Fa Pha,25490101
11019800,บ้านคลองสวน*,Ban Khlong Suan,25490101
11019900,นาเกลือ*,Na Kluea,25490101
11020000,บางบ่อ,Bang Bo,0
11020100,บางบ่อ,Bang Bo,0
11020200,บ้านระกาศ,Ban Rakat,0
11020300,บางพลีน้อย,Bang Phli Noi,0
11020400,บางเพรียง,Bang Phriang,0
11020500,คลองด่าน,Khlong Dan,0
11020600,คลองสวน,Khlong Suan,0
11020700,เปร็ง,Preng,0
11020800,คลองนิยมยาตรา,Khlong Niyom Yattra,0
11020900,คลองนิยม*,Khlong Niyom,25490101
11030000,บางพลี,Bang Phli,0
11030100,บางพลีใหญ่,Bang Phli Yai,0
11030200,บางแก้ว,Bang Kaeo,0
11030300,บางปลา,Bang Pla,0
11030400,บางโฉลง,Bang Chalong,0
11030500,บางเสาธง*,Bang Sao Thong,25490101
11030600,ศรีษะจรเข้ใหญ่*,Sisa Chorakhe Yai,25490101
11030700,ศรีษะจรเข้น้อย*,Sisa Chorakhe Noi,25490101
11030800,ราชาเทวะ,Racha Thewa,0
11030900,หนองปรือ,Nong Prue,0
11040000,พระประแดง,Phra Pradaeng,0
11040100,ตลาด,Talat,0
11040200,บางพึ่ง,Bang Phueng,0
11040300,บางจาก,Bang Chak,0
11040400,บางครุ,Bang Khru,0
11040500,บางหญ้าแพรก,Bang Ya Phraek,0
11040600,บางหัวเสือ,Bang Hua Suea,0
11040700,สำโรงใต้,Samrong Tai,0
11040800,บางยอ,Bang Yo,0
11040900,บางกะเจ้า,Bang Kachao,0
11041000,บางน้ำผึ้ง,Bang Namphueng,0
11041100,บางกระสอบ,Bang Krasop,0
11041200,บางกอบัว,Bang Ko Bua,0
11041300,ทรงคนอง,Song Khanong,0
11041400,สำโรง,Samrong,0
11041500,สำโรงกลาง,Samrong Klang,0
11050000,พระสมุทรเจดีย์,Phra Samut Chedi,0
11050100,นาเกลือ,Na Kluea,0
11050200,บ้านคลองสวน,Ban Khlong Suan,0
11050300,แหลมฟ้าผ่า,Laem Fa Pha,0
11050400,ปากคลองบางปลากด,Pak Khlong Bang Pla Kot,0
11050500,ในคลองบางปลากด,Nai Khlong Bang Pla Kot,0
11060000,บางเสาธง,Bang Sao Thong,0
11060100,บางเสาธง,Bang Sao Thong,0
11060200,ศีรษะจรเข้น้อย,Sisa Chorakhe Noi,0
11060300,ศีรษะจรเข้ใหญ่,Sisa Chorakhe Yai,0
12000000,นนทบุรี,Nonthaburi,0
12010000,เมืองนนทบุรี,Mueang Nonthaburi,0
12010100,สวนใหญ่,Suan Yai,0
12010200,ตลาดขวัญ,Talat Khwan,0
12010300,บางเขน,Bang Khen,0
12010400,บางกระสอ,Bang Kraso,0
12010500,ท่าทราย,Tha Sai,0
12010600,บางไผ่,Bang Phai,0
12010700,บางศรีเมือง,Bang Si Mueang,0
12010800,บางกร่าง,Bang Krang,0
12010900,ไทรม้า,Sai Ma,0
12011000,บางรักน้อย,Bang Rak Noi,0
12020000,บางกรวย,Bang Kruai,0
12020100,วัดชลอ,Wat Chalo,0
12020200,บางกรวย,Bang Kruai,0
12020300,บางสีทอง,Bang Si Thong,0
12020400,บางขนุน,Bang Khanun,0
12020500,บางขุนกอง,Bang Khun Kong,0
12020600,บางคูเวียง,Bang Khu Wiang,0
12020700,มหาสวัสดิ์,Maha Sawat,0
12020800,ปลายบาง,Plai Bang,0
12020900,ศาลากลาง,Sala Klang,0
12030000,บางใหญ่,Bang Yai,0
12030100,บางม่วง,Bang Muang,0
12030200,บางแม่นาง,Bang Mae Nang,0
12030300,บางเลน,Bang Len,0
12030400,เสาธงหิน,Sao Thong Hin,0
12030500,บางใหญ่,Bang Yai,0
12030600,บ้านใหม่,Ban Mai,0
12040000,บางบัวทอง,Bang Bua Thong,0
12040100,โสนลอย,Sano Loi,0
12040200,บางบัวทอง,Bang Bua Thong,0
12040300,บางรักใหญ่,Bang Rak Yai,0
12040400,บางคูรัด,Bang Khu Rat,0
12040500,ละหาร,Lahan,0
12040600,ลำโพ,Lam Pho,0
12040700,พิมลราช,Phimon Rat,0
12040800,บางรักพัฒนา,Bang Rak Phatthana,0
12050000,ไทรน้อย,Sai Noi,0
12050100,ไทรน้อย,Sai Noi,0
12050200,ราษฎร์นิยม,Rat Niyom,0
12050300,หนองเพรางาย,Nong Phrao Ngai,0
12050400,ไทรใหญ่,Sai Yai,0
12050500,ขุนศรี,Khun Si,0
12050600,คลองขวาง,Khlong Khwang,0
12050700,ทวีวัฒนา,Thawi Watthana,0
12060000,ปากเกร็ด,Pak Kret,0
12060100,ปากเกร็ด,Pak Kret,0
12060200,บางตลาด,Bang Talat,0
12060300,บ้านใหม่,Ban Mai,0
12060400,บางพูด,Bang Phut,0
12060500,บางตะไนย์,Bang Tanai,0
12060600,คลองพระอุดม,Khlong Phra Udom,0
12060700,ท่าอิฐ,Tha It,0
12060800,เกาะเกร็ด,Ko Kret,0
12060900,อ้อมเกร็ด,Om Kret,0
12061000,คลองข่อย,Khlong Khoi,0
12061100,บางพลับ,Bang Phlap,0
12061200,คลองเกลือ,Khlong Kluea,0
12510000,เทศบาลนครนนทบุรี (สาขาแขวงท่าทราย)*,Nonthaburi City Municipality (Tha Sai Branch),25490101
12970000,เทศบาลเมืองปากเกร็ด*,Pak Kret Town Municipality,25490101
13000000,ปทุมธานี,Pathum Thani,0
13010000,เมืองปทุมธานี,Mueang Pathum Thani,0
13010100,บางปรอก,Bang Prok,0
13010200,บ้านใหม่,Ban Mai,0
13010300,บ้านกลาง,Ban Klang,0
13010400,บ้านฉาง,Ban Chang,0
13010500,บ้านกระแชง,Ban Krachaeng,0
13010600,บางขะแยง,Bang Khayaeng,0
13010700,บางคูวัด,Bang Khu Wat,0
13010800,บางหลวง,Bang Luang,0
13010900,บางเดื่อ,Bang Duea,0
13011000,บางพูด,Bang Phut,0
13011100,บางพูน,Bang Phun,0
13011200,บางกะดี,Bang Kadi,0
13011300,สวนพริกไทย,Suan Phrikthai,0
13011400,หลักหก,Lak Hok,0
13020000,คลองหลวง,Khlong Luang,0
13020100,คลองหนึ่ง,Khlong Nueng,0
13020200,คลองสอง,Khlong Song,0
13020300,คลองสาม,Khlong Sam,0
13020400,คลองสี่,Khlong Si,0
13020500,คลองห้า,Khlong Ha,0
13020600,คลองหก,Khlong Hok,0
13020700,คลองเจ็ด,Khlong Chet,0
13030000,ธัญบุรี,Thanyaburi,0
13030100,ประชาธิปัตย์,Prachathipat,0
13030200,บึงยี่โถ,Bueng Yitho,0
13030300,รังสิต,Rangsit,0
13030400,ลำผักกูด,Lam Phak Kut,0
13030500,บึงสนั่น,Bueng Sanan,0
13030600,บึงน้ำรักษ์,Bueng Nam Rak,0
13040000,หนองเสือ,Nong Suea,0
13040100,บึงบา,Bueng Ba,0
