รหัสสำนักทะเบียน/อำเภอ,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาไทย,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
1483,ท้องถิ่นเทศบาลเมืองผักไห่,Phak Hai Town Municipality,0
1484,ท้องถิ่นเทศบาลตำบลพระอินทราชา,Phra In Tha Racha Sub-district Municipality,0
1485,ท้องถิ่นเทศบาลตำบลบ้านสร้าง,Ban Sang Sub-district Municipality,0
1486,ท้องถิ่นเทศบาลตำบลบางปะอิน,Bang Pa-in Sub-district Municipality,0
1487,ท้องถิ่นเทศบาลตำบลบางปะหัน,Bang Pahan Sub-district Municipality,0
1488,ท้องถิ่นเทศบาลตำบลมหาพราหมณ์,Maha Phram Sub-district Municipality,0
1489,ท้องถิ่นเทศบาลตำบลบางบาล,Bang Ban Sub-district Municipality,0
1490,ท้องถิ่นเทศบาลตำบลราชคราม,Ratchakhram Sub-district Municipality,0
1491,ท้องถิ่นเทศบาลตำบลบางไทร,Bang Sai Sub-district Municipality,0
1492,ท้องถิ่นเทศบาลตำบลอรัญญิก,Aranyik Sub-district Municipality,0
1493,ท้องถิ่นเทศบาลตำบลนครหลวง,Nakhon Luang Sub-district Municipality,0
1494,ท้องถิ่นเทศบาลตำบลท่าหลวง,Tha Luang Sub-district Municipality,0
1495,ท้องถิ่นเทศบาลเมืองอโยธยา,Ayotaya Town Municipality,0
1496,ท้องถิ่นเทศบาลตำบลเจ้าเจ็ด,Chao Chet Sub-district Municipality,0
1497,ท้องถิ่นเทศบาลตำบลท่าเรือ,Tha Ruea Sub-district Municipality,0
1498,ท้องถิ่นเทศบาลเมืองเสนา,Sena Town Municipality,0
1499,ท้องถิ่นเทศบาลนครพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya City Municipality,0
1500,จังหวัดอ่างทอง,Ang Thong Province,0
1501,อำเภอเมืองอ่างทอง,Mueang Ang Thong District,0
1502,อำเภอไชโย,Chaiyo District,0
1503,อำเภอป่าโมก,Pa Mok District,0
1504,อำเภอโพธิ์ทอง,Pho Thong District,0
1505,อำเภอแสวงหา,Sawaeng Ha District,0
1506,อำเภอวิเศษชัยชาญ,Wiset Chai Chan District,0
1507,อำเภอสามโก้,Samko District,0
1588,ท้องถิ่นเทศบาลตำบลโพสะ,Phosa Sub-district Municipality,25550101
